ID,Model Name,Category,Domain,Query Type,Latency (ms),Response Accuracy (%),Performance Time (s),Memory Usage (MB),Concurrent Queries,Optimization Technique,Notes
887,Welch-GuerreroBot,Domain-Specific,Education,Multi-turn Query,490,80.72,4.75,932,44,Baseline,Faster architecture
888,Wyatt-WrightBot,Rule-Based,Retail,Simple Query,631,85.87,4.46,1430,44,Baseline,No optimization applied
889,CamachoIncBot,Hybrid,E-commerce,Multi-turn Query,738,79.26,2.03,1850,15,Model Pruning,Improved adaptive response
890,ClarkWoodardandCamposBot,Open-Source,Finance,Multi-turn Query,134,87.11,2.54,873,40,Baseline,Improved adaptive response
891,Baldwin-LaraBot,Domain-Specific,Education,Simple Query,488,75.42,4.63,1703,25,Reinforcement Learning,No optimization applied
892,HolmesMiddletonandTateBot,Custom,Education,Complex Query,147,79.48,4.45,762,30,Neural Architecture Search,Improved adaptive response
893,EspinozaGroupBot,Custom,Healthcare,Multi-turn Query,113,81.26,4.8,1237,35,Neural Architecture Search,Improved adaptive response
894,Miller-RamirezBot,Rule-Based,Retail,Multi-turn Query,433,93.2,4.96,721,32,Neural Architecture Search,Reduced memory footprint
895,Carson-BurkeBot,Rule-Based,Healthcare,Multi-turn Query,531,84.43,3.34,1078,49,Model Pruning,Faster architecture
896,Crawford-HoodBot,Domain-Specific,Healthcare,Simple Query,724,75.9,3.31,1969,45,Neural Architecture Search,Improved adaptive response
897,Butler-BensonBot,Domain-Specific,Retail,Simple Query,845,90.02,4.92,357,40,Model Pruning,Faster architecture
898,WagnerWilliamsandJohnsonBot,Custom,Healthcare,Multi-turn Query,974,79.57,4.82,551,11,Model Pruning,No optimization applied
899,Paul-MclaughlinBot,Domain-Specific,E-commerce,Simple Query,430,83.04,0.53,1653,10,Baseline,Reduced memory footprint
900,Randolph-JohnsonBot,Open-Source,Education,Multi-turn Query,278,81.39,1.45,1627,22,Baseline,Reduced memory footprint
901,Fernandez-ButlerBot,Open-Source,Education,Multi-turn Query,859,84.65,4.87,1270,24,Neural Architecture Search,Improved adaptive response
902,HoffmanIncBot,Rule-Based,Healthcare,Simple Query,991,84.8,3.62,403,33,Neural Architecture Search,Faster architecture
903,BrownMillerandNguyenBot,Domain-Specific,Retail,Simple Query,980,81.77,2.85,1781,32,Reinforcement Learning,No optimization applied
904,JohnstonDaltonandRileyBot,Open-Source,Retail,Multi-turn Query,867,88.29,1.21,791,39,Reinforcement Learning,Reduced memory footprint
905,Wyatt-WrightBot,Custom,Retail,Complex Query,768,86.29,4.11,621,24,Neural Architecture Search,Faster architecture
906,MccoyAndrewsandHicksBot,Rule-Based,Education,Multi-turn Query,320,92.46,4.64,348,10,Reinforcement Learning,Faster architecture
907,Johnson-NorrisBot,Rule-Based,Retail,Complex Query,395,79.56,0.51,1627,40,Reinforcement Learning,Faster architecture
908,Bowman-BernardBot,Domain-Specific,Healthcare,Simple Query,844,83.82,2.27,344,10,Reinforcement Learning,Reduced memory footprint
909,KleinIncBot,Hybrid,Education,Complex Query,209,76.17,2.45,765,47,Reinforcement Learning,Improved adaptive response
910,WilsonWardandFryBot,Domain-Specific,Finance,Complex Query,656,79.68,3.07,1822,44,Neural Architecture Search,Faster architecture
911,Durham-StanleyBot,Domain-Specific,Education,Complex Query,510,94.97,3.83,1208,11,Neural Architecture Search,Improved adaptive response
912,BishopBarnesandSmithBot,Hybrid,E-commerce,Multi-turn Query,419,89.54,2.36,891,6,Baseline,Reduced memory footprint
913,RussellWilsonandAllisonBot,Rule-Based,Healthcare,Multi-turn Query,192,86.45,4.84,263,50,Neural Architecture Search,No optimization applied
914,Santos-RodgersBot,Open-Source,Retail,Simple Query,329,89.38,4.62,1832,11,Baseline,Faster architecture
915,ClarkWoodardandCamposBot,Hybrid,Education,Complex Query,600,91.44,4.37,889,39,Baseline,No optimization applied
916,JohnsonFrazierandHillBot,Rule-Based,E-commerce,Complex Query,376,78.73,1.23,1090,44,Reinforcement Learning,Faster architecture
917,SmithPLCBot,Open-Source,Healthcare,Complex Query,243,89.33,4.56,1716,47,Model Pruning,Faster architecture
918,ButlerBrownandFernandezBot,Domain-Specific,Retail,Multi-turn Query,173,80.34,2.93,1664,46,Neural Architecture Search,Faster architecture
919,TapiaPLCBot,Open-Source,Healthcare,Complex Query,783,85.78,4.49,1565,17,Neural Architecture Search,Reduced memory footprint
920,RhodesRandolphandRodriguezBot,Rule-Based,Education,Simple Query,377,84.73,2.14,1527,40,Model Pruning,Faster architecture
921,Trevino-PhillipsBot,Custom,Finance,Multi-turn Query,441,81.12,2.2,1762,18,Model Pruning,Reduced memory footprint
922,Hunt-GarzaBot,Rule-Based,E-commerce,Simple Query,341,91.9,3.86,1354,17,Model Pruning,Reduced memory footprint
923,FrazierDiazandCruzBot,Domain-Specific,E-commerce,Complex Query,649,80.7,4.18,406,43,Model Pruning,No optimization applied
924,Mclaughlin-HughesBot,Open-Source,Finance,Multi-turn Query,423,80.34,4.85,966,38,Baseline,No optimization applied
925,Santos-RodgersBot,Custom,Retail,Multi-turn Query,369,84.69,4.76,507,13,Baseline,Reduced memory footprint
926,CarterLtdBot,Rule-Based,Retail,Multi-turn Query,764,78.44,3.91,1004,35,Baseline,Improved adaptive response
927,Crawford-HoodBot,Custom,Healthcare,Multi-turn Query,428,76.04,3.59,1602,41,Model Pruning,Improved adaptive response
928,WoodsIncBot,Custom,Finance,Simple Query,525,82.3,4.34,1865,46,Neural Architecture Search,Improved adaptive response
929,MccarthyAlvarezandTurnerBot,Open-Source,Finance,Simple Query,738,83.34,4.08,718,43,Reinforcement Learning,Faster architecture
930,ThomasGroupBot,Rule-Based,Finance,Complex Query,176,91.26,4.07,1973,19,Model Pruning,No optimization applied
931,AguilarLLCBot,Hybrid,Education,Complex Query,499,90.11,4.73,1320,5,Neural Architecture Search,No optimization applied
932,Woods-YoungBot,Domain-Specific,Education,Complex Query,148,93.13,2.35,1275,13,Reinforcement Learning,No optimization applied
933,Nielsen-DiazBot,Custom,E-commerce,Complex Query,475,83.22,1.14,256,28,Neural Architecture Search,Faster architecture
934,WoodsIncBot,Open-Source,Healthcare,Complex Query,347,87.28,1.29,1073,38,Model Pruning,Faster architecture
935,Nielsen-DiazBot,Custom,E-commerce,Multi-turn Query,959,83.88,1.91,1194,3,Model Pruning,No optimization applied
936,Trevino-PhillipsBot,Open-Source,E-commerce,Simple Query,637,85.31,3.08,1904,46,Model Pruning,Reduced memory footprint
937,GravesPLCBot,Hybrid,Education,Complex Query,104,93.71,1.85,1891,36,Neural Architecture Search,No optimization applied
938,DixonPLCBot,Custom,Retail,Simple Query,986,87.11,2.89,445,1,Baseline,Faster architecture
939,RussellWilsonandAllisonBot,Custom,Healthcare,Simple Query,654,86.48,0.6,1978,17,Baseline,Faster architecture
940,Hart-JosephBot,Domain-Specific,Retail,Simple Query,261,88.29,3.1,832,17,Baseline,Improved adaptive response
941,Fernandez-ButlerBot,Open-Source,E-commerce,Multi-turn Query,148,88.33,2.43,941,36,Model Pruning,Improved adaptive response
942,Vazquez-MorenoBot,Domain-Specific,Retail,Simple Query,273,83.84,4.92,286,15,Model Pruning,No optimization applied
943,GriffithGreenandCruzBot,Hybrid,E-commerce,Complex Query,200,94.42,3.01,1214,8,Model Pruning,No optimization applied
944,CombsJonesandRamseyBot,Domain-Specific,Retail,Complex Query,268,82.04,2.26,1475,38,Neural Architecture Search,Faster architecture
945,JohnstonDaltonandRileyBot,Rule-Based,E-commerce,Complex Query,820,85.57,4.81,349,3,Reinforcement Learning,No optimization applied
946,NealMitchellandCoxBot,Domain-Specific,Education,Complex Query,651,88.96,4.77,463,15,Reinforcement Learning,Faster architecture
947,LawrenceWilliamsandLeeBot,Rule-Based,Education,Simple Query,135,75.94,3.27,317,38,Neural Architecture Search,Faster architecture
948,WoodsIncBot,Custom,Education,Simple Query,513,76.44,1.16,1611,12,Model Pruning,Faster architecture
949,WagnerWilliamsandJohnsonBot,Custom,Finance,Multi-turn Query,658,85.76,0.86,322,16,Neural Architecture Search,No optimization applied
950,Johnson-NorrisBot,Open-Source,Finance,Multi-turn Query,669,94.3,0.7,1549,44,Model Pruning,Improved adaptive response
951,HoffmanIncBot,Domain-Specific,Healthcare,Simple Query,121,83.13,1.42,1926,32,Reinforcement Learning,Faster architecture
952,Crawford-HoodBot,Rule-Based,Education,Simple Query,982,93.66,3.95,777,5,Neural Architecture Search,Faster architecture
953,Trevino-PhillipsBot,Open-Source,Healthcare,Multi-turn Query,721,79.69,1.05,1097,13,Model Pruning,Reduced memory footprint
954,WilsonWardandFryBot,Rule-Based,Finance,Complex Query,877,88.11,4.72,687,23,Model Pruning,Reduced memory footprint
955,Santos-RodgersBot,Custom,Retail,Multi-turn Query,227,77.05,3.02,1945,45,Baseline,Reduced memory footprint
956,RhodesRandolphandRodriguezBot,Rule-Based,Finance,Complex Query,438,77.81,4.69,648,43,Neural Architecture Search,Faster architecture
957,MccoyAndrewsandHicksBot,Open-Source,Healthcare,Complex Query,409,90.58,4.11,320,9,Model Pruning,No optimization applied
958,AdkinsPLCBot,Open-Source,Education,Complex Query,970,84.69,3.15,1053,15,Baseline,Reduced memory footprint
959,NguyenKellyandBanksBot,Open-Source,Education,Simple Query,198,75.25,1.28,632,26,Neural Architecture Search,Improved adaptive response
960,Hall-MolinaBot,Open-Source,E-commerce,Multi-turn Query,986,88,1.77,433,6,Model Pruning,Reduced memory footprint
961,Lewis-CalderonBot,Domain-Specific,Retail,Simple Query,979,79.89,3.78,1219,39,Reinforcement Learning,Reduced memory footprint
962,Russell-SharpBot,Custom,E-commerce,Multi-turn Query,503,76.12,3.99,948,7,Baseline,Improved adaptive response
963,Nguyen-MercadoBot,Domain-Specific,Finance,Simple Query,350,89.6,2.51,880,21,Reinforcement Learning,Improved adaptive response
964,Carson-BurkeBot,Hybrid,Education,Complex Query,915,92.78,3.76,2035,9,Reinforcement Learning,Improved adaptive response
965,Trevino-PhillipsBot,Rule-Based,Finance,Simple Query,791,91.1,0.77,382,22,Model Pruning,Improved adaptive response
966,MurphyHarringtonandFerrellBot,Custom,Retail,Multi-turn Query,421,80.64,1.51,1992,43,Reinforcement Learning,Faster architecture
967,HaleyIncBot,Rule-Based,Finance,Complex Query,558,81.57,2.77,540,50,Neural Architecture Search,Reduced memory footprint
968,KleinGroupBot,Hybrid,Retail,Complex Query,251,85.88,1.44,456,13,Model Pruning,Faster architecture
969,GriffithGreenandCruzBot,Open-Source,Finance,Complex Query,901,86.77,4.81,967,14,Model Pruning,Reduced memory footprint
970,Paul-MclaughlinBot,Rule-Based,Finance,Complex Query,979,75.61,3.64,552,46,Baseline,Reduced memory footprint
971,Wyatt-WrightBot,Domain-Specific,Healthcare,Simple Query,554,82.98,1.11,739,17,Neural Architecture Search,Improved adaptive response
972,Snyder-WilliamsonBot,Rule-Based,Finance,Simple Query,734,76.7,3.05,638,40,Reinforcement Learning,Faster architecture
973,Hanson-BrooksBot,Hybrid,E-commerce,Complex Query,627,77.14,4.74,1761,12,Baseline,Improved adaptive response
974,Hart-JosephBot,Open-Source,Education,Multi-turn Query,228,82.08,0.67,619,33,Model Pruning,No optimization applied
975,SnyderWarrenandBrownBot,Domain-Specific,Education,Complex Query,222,89.97,1.22,716,24,Baseline,Improved adaptive response
976,WilsonWardandFryBot,Open-Source,Education,Simple Query,116,93.41,2.13,1723,9,Neural Architecture Search,Improved adaptive response
977,Lin-BurnsBot,Domain-Specific,Education,Multi-turn Query,472,85.03,0.98,401,22,Model Pruning,Reduced memory footprint
978,MccoyAndrewsandHicksBot,Rule-Based,Healthcare,Complex Query,324,76.79,1.89,1734,13,Reinforcement Learning,Reduced memory footprint
979,HaleyIncBot,Domain-Specific,Retail,Simple Query,587,83.48,1.85,2018,12,Neural Architecture Search,Improved adaptive response
980,AdkinsPLCBot,Open-Source,E-commerce,Multi-turn Query,768,90.9,3.59,322,22,Model Pruning,Reduced memory footprint
981,HolmesMiddletonandTateBot,Open-Source,Healthcare,Simple Query,288,89.42,4.02,1548,39,Reinforcement Learning,No optimization applied
982,CombsJonesandRamseyBot,Domain-Specific,E-commerce,Simple Query,378,77.03,4.21,1711,34,Reinforcement Learning,Reduced memory footprint
983,NicholsPLCBot,Open-Source,Retail,Complex Query,305,85.17,3.23,1941,29,Neural Architecture Search,No optimization applied
984,EdwardsGroupBot,Open-Source,Healthcare,Multi-turn Query,615,84.87,3.73,1884,10,Neural Architecture Search,No optimization applied
985,WoodsIncBot,Open-Source,Healthcare,Multi-turn Query,406,78.84,4.93,822,42,Neural Architecture Search,No optimization applied
986,MorrowandSonsBot,Open-Source,E-commerce,Multi-turn Query,191,75.76,1.82,1490,28,Model Pruning,Faster architecture
987,MurphyHarringtonandFerrellBot,Hybrid,Education,Complex Query,199,82.42,3.03,1242,12,Baseline,Reduced memory footprint
988,Lin-BurnsBot,Open-Source,Finance,Simple Query,979,83.08,0.66,1319,24,Reinforcement Learning,Improved adaptive response
989,MurphyHarringtonandFerrellBot,Hybrid,E-commerce,Complex Query,823,81.62,4.78,1124,25,Baseline,Reduced memory footprint
990,NealMitchellandCoxBot,Domain-Specific,Retail,Multi-turn Query,287,94.26,0.7,522,29,Reinforcement Learning,No optimization applied
991,GutierrezBushandThomasBot,Rule-Based,Finance,Simple Query,117,76,1.31,566,19,Neural Architecture Search,Reduced memory footprint
992,SnyderWarrenandBrownBot,Hybrid,Finance,Multi-turn Query,512,85.26,4.83,1653,4,Baseline,Faster architecture
993,SmithPLCBot,Rule-Based,Education,Multi-turn Query,265,86.5,0.68,992,30,Neural Architecture Search,Reduced memory footprint
994,Welch-GuerreroBot,Hybrid,E-commerce,Complex Query,914,87.9,4.13,463,43,Neural Architecture Search,No optimization applied
995,HoffmanIncBot,Rule-Based,Retail,Complex Query,400,83.36,3.74,1099,25,Reinforcement Learning,Faster architecture
996,Miller-ChapmanBot,Rule-Based,Retail,Complex Query,540,86.09,3.84,1892,21,Baseline,Reduced memory footprint
997,Vazquez-MorenoBot,Domain-Specific,Finance,Simple Query,963,78.57,2.17,1050,30,Model Pruning,Reduced memory footprint
998,TrevinoIncBot,Open-Source,Retail,Complex Query,117,76.28,2.03,1801,1,Baseline,Faster architecture
999,SmithPLCBot,Rule-Based,Healthcare,Simple Query,806,77.16,1.6,1459,8,Baseline,Improved adaptive response
1000,KiddLtdBot,Custom,E-commerce,Simple Query,341,83.34,2.7,412,38,Baseline,Reduced memory footprint
